Title,ID,SYSID,NameMAC,DescriptionMAC,Status,Duration,Fre,QRCode,Modified,Created,Modified By
,"139","24","Chiller No.2.2 Máy nén 2 (chiller daikin)",,"1","45","480","BNP-Cooling Tower và Chiller-Chiller No.2.2Máy nén 2(chiller daikin)","8/25/2021 11:58 PM","7/20/2021 2:27 AM","Hung Pham Truong {SPVB}"
,"140","24","Cooling tower",,"1","45","240","BNP-Cooling Tower và Chiller-Cooling tower","8/28/2021 1:33 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"141","25","Mycom No.1",,"1","60","240","DOP-Hệ thống lạnh NH3-Mycom No.1","9/14/2021 8:23 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"142","25","Mycom No.2",,"1","60","240","DOP-Hệ thống lạnh NH3-Mycom No.2","9/14/2021 8:24 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"143","25","Mycom No.3",,"1","60","240","DOP-Hệ thống lạnh NH3-Mycom No.3","9/14/2021 8:25 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"144","25","Mycom No.4",,"1","60","240","DOP-Hệ thống lạnh NH3-Mycom No.4","9/14/2021 8:26 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"145","25","Mycom No.5",,"1","60","240","DOP-Hệ thống lạnh NH3-Mycom No.5","9/14/2021 8:26 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"147","25","Chiller 2 oC",,"1","60","240","DOP-Hệ thống lạnh NH3-Chiller 2 oC","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"148","25","Trạm 2 (Tuần hoàn)",,"1","60","240","DOP-Hệ thống lạnh NH3-Trạm 2 (Tuần hoàn)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"149","25","Trạm 3 (AHU)",,"1","60","240","DOP-Hệ thống lạnh NH3-Trạm 3 (AHU)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"151","26","Nước cấp vào lò (tần suất 2h)",,"1","60","120","DOP-Boiler-Nước cấp vào lò (tần suất 2h)","9/13/2021 4:03 PM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"152","26","E-0607-350D-50-IC-A/S Boiler 01",,"1","60","120","DOP-Boiler-E-0607-350D-50-IC-A/S Boiler 01","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"153","26","E-0608-350D-50-IC-A/S Boiler 02",,"1","60","120","DOP-Boiler-E-0608-350D-50-IC-A/S Boiler 02","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"154","26","E-0609-350D-50-IC-A/S Boiler 03",,"1","60","120","DOP-Boiler-E-0609-350D-50-IC-A/S Boiler 03","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"155","27","HP02 CE68B 20G425",,"1","60","240","DOP-HP AC-HP02CE68B 20G425","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"156","27","HP01 CE68B 20G425",,"1","60","240","DOP-HP AC-HP01CE68B 20G425","9/14/2021 8:46 AM","7/20/2021 2:27 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"157","27","HP03 CE46B 20FH0665",,"1","60","240","DOP-HP AC-HP03CE46B 20FH0665","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"158","27","HP04 CE6 20JA1200",,"1","60","240","DOP-HP AC-HP04CE6 20JA1200","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"159","27","HP05 CE680B 20HH1199",,"1","60","240","DOP-HP AC-HP05 CE680B 20HH1199","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"160","27","HP06 CE6 20J1166",,"1","60","240","DOP-HP AC-HP06CE6 20J1166","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"161","27","HP07 CE680B 20HH1974",,"1","60","240","DOP-HP AC-HP07CE680B 20HH1974","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"162","28","LP01 IR SM 250 W ",,"1","60","240","DOP-LP AC-LP01IR SM 250 W","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"163","28","LP02 Hitachi SDS-IE210 04B513280-1",,"1","60","240","DOP-LP AC-LP02Hitachi SDS-IE210 04B513280-1","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"164","28","LP03 Hitachi SDS-IE210 04B513290-1",,"1","60","240","DOP-LP AC-LP03Hitachi SDS-IE210 04B513290-1","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"165","28","LP04 IR 300",,"1","60","240","DOP-LP AC-LP04 IR 300","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"166","29","Evaporizer N0.1",,"1","60","240","DOP-CO2 và N2-Evaporizer N0.1","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"167","29","Evaporizer N0.2",,"1","60","240","DOP-CO2 và N2-Evaporizer N0.2","9/14/2021 8:32 AM","7/20/2021 2:27 AM","Hung Tran Thanh {SPVB - Contractor}"
,"168","29","Evaporizer N0.3",,"1","60","240","DOP-CO2 và N2-Evaporizer N0.3","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"170","29","CO2 Tank No.1",,"1","60","240","DOP-CO2 và N2-CO2 Tank No.1","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"171","29","CO2 Tank No.2",,"1","60","240","DOP-CO2 và N2-CO2 Tank No.2","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"173","29","Hệ thống N2 (Tank 1)",,"1","60","240","DOP-CO2 và N2-Hệ thống N2 (Tank 1)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"174","29","Hệ thống N2 (Tank 2)",,"1","60","240","DOP-CO2 và N2-Hệ thống N2 (Tank 2)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"175","29","Hệ thống N2 (Tank 3)",,"1","60","240","DOP-CO2 và N2-Hệ thống N2 (Tank 3)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"177","30","NH3 Condensate 1 (chiller 1-2)",,"1","60","480","DOP-Cooling Tower và Chiller-NH3 Condensate 1 (chiller 1-2)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"178","30","NH3 Condensate 2  (chiller 1-2)",,"1","60","480","DOP-Cooling Tower và Chiller-NH3 Condensate 2  (chiller 1-2)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"179","30","NH3 Condensate 3  (chiller 1-2)",,"1","60","480","DOP-Cooling Tower và Chiller-NH3 Condensate 3  (chiller 1-2)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"180","30","Cooling tower 4",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 4","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"181","30","Cooling tower 5",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 5","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"182","30","Cooling tower 6 (AF1)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 6 (AF1)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"183","30","Cooling tower 7 (AF2)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 7 (AF2)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"184","30","Cooling tower 8 (AF3)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 8 (AF3)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"185","30","Cooling tower 9",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 9","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"186","30","NH3 Condensate 3 (chiller 3-5)",,"1","60","480","DOP-Cooling Tower và Chiller-NH3 Condensate 3 (chiller 3-5)","9/13/2021 7:17 AM","7/20/2021 2:27 AM","Hung Tran Thanh {SPVB - Contractor}"
,"187","30","NH3 Condensate 4 (chiller 3-5)",,"1","60","480","DOP-Cooling Tower và Chiller-NH3 Condensate 4 (chiller 3-5)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"188","30","Cooling tower 10 (AF7)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 10 (AF7)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"189","30","Cooling tower 11 (AF4)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 11 (AF4)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"190","30","Cooling tower 12 (AF5)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 12 (AF5)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"191","30","Cooling tower 12 (AF6)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 12 (AF6)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"192","30","Cooling tower 13 (IR300)",,"1","60","480","DOP-Cooling Tower và Chiller-Cooling tower 13 (IR300)","8/28/2021 3:46 AM","7/20/2021 2:27 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"196","13","Theo Dõi Nước trong Condenser và độ rung máy nén ",,"1","480","480","CTP-Hệ thống lạnh NH3","9/5/2021 11:55 PM","8/24/2021 12:54 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"197","14","Hiệu xuất lò Omnical",,"1","480","480","CTP-Boiler","9/5/2021 11:55 PM","8/24/2021 1:22 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"198","15","Tổng giờ chạy máy nén cao áp",,"1","480","480","CTP-HP AC","9/5/2021 11:55 PM","8/24/2021 2:30 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"199","16","Tổng giờ chạy máy nén thấp áp",,"1","480","480","CTP-LP AC","9/5/2021 11:55 PM","8/24/2021 2:53 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"200","18","Cooling tower DAIKIN CUWD-150 C S5Y",,"1","480","480","CTP-Cooling Tower và Chiller-Cooling tower  DAIKIN CUWD-150 CS5Y","9/5/2021 11:55 PM","8/24/2021 7:26 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"201","18","Cooling tower HITACHI RCUG80",,"1","480","480","CTP-Cooling Tower và Chiller-Cooling tower HITACHI RCUG80","9/5/2021 11:55 PM","8/24/2021 7:36 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"202","18","Cooling tower CARRIER 30XW0352",,"1","480","480","CTP-Cooling Tower và Chiller-Cooling tower CARRIER 30XW0352","9/5/2021 11:55 PM","8/24/2021 7:41 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"203","18","Tổng giờ chạy máy nén chiller",,"1","480","480","CTP-Cooling Tower và Chiller","9/5/2021 11:55 PM","8/24/2021 7:43 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"204","25","Trạm bơm cooling và glycol",,"1","60","240","DOP-Hệ thống lạnh NH3-Trạm bơm cooling và glycol","9/13/2021 3:58 PM","9/13/2021 4:17 AM","Tien Truong ThiHanh {SPVB - Contractor}"
,"205","49","Hệ thống làm mềm nước 1",,"1","60","240","DOP-Hệ làm mềm nước-Hệ thống làm mềm nước 1","9/15/2021 2:11 AM","9/13/2021 12:34 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"206","49","Chế độ tái sinh của hệ thống làm mềm nước 1",,"1","60","240","DOP-Hệ làm mềm nước-Chế độ tái sinh của hệ thống làm mềm nước 1","9/15/2021 2:11 AM","9/13/2021 12:34 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"207","49","Hệ thống làm mềm nước 2",,"1","60","240","DOP-Hệ làm mềm nước-Hệ thống làm mềm nước 2","9/15/2021 2:11 AM","9/13/2021 12:34 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"208","49","Chế độ tái sinh của hệ thống làm mềm nước 2",,"1","60","240","DOP-Hệ làm mềm nước-Chế độ tái sinh của hệ thống làm mềm nước 2","9/15/2021 2:11 AM","9/13/2021 12:34 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","209","50","AHU 01 (T)",,"1","60","480","DOP-AHU-AHU 01 (T)","9/15/2021 2:07 AM","9/13/2021 12:34 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","210","50","AHU 01.1 (T)",,"1","60","480","DOP-AHU-AHU 01.1 (T)","9/15/2021 2:08 AM","9/13/2021 12:34 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","211","50","AHU 03 (BLOW-T)",,"1","60","480","DOP-AHU-AHU 03 (BLOW-T)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","212","50","AHU 02 (CAN)",,"1","60","480","DOP-AHU-AHU 02 (CAN)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","213","50","PAU 02 (CO2)",,"1","60","480","DOP-AHU-PAU 02 (CO2)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","214","50","AHU 04 (SYRUP 1)",,"1","60","480","DOP-AHU-AHU 04 (SYRUP 1)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","215","50","AHU 06 (FILL-W)",,"1","60","480","DOP-AHU-AHU 06 (FILL-W)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","216","50","AHU 06 (PRE-W)",,"1","60","480","DOP-AHU-AHU 06 (PRE-W)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","217","50","PAU 06 (CO2)",,"1","60","480","DOP-AHU-PAU 06 (CO2)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","218","50","AHU 07 (SYRUP 2)",,"1","60","480","DOP-AHU-AHU 07 (SYRUP 2)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","219","50","AHU 08 (TEA)",,"1","60","480","DOP-AHU-AHU 08 (TEA)","9/15/2021 2:08 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","220","50","AHU 8.1 (BIB)",,"1","60","480","DOP-AHU-AHU 8.1 (BIB)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","221","50","AHU 09 (FILL-X)",,"1","60","480","DOP-AHU-AHU 09 (FILL-X)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","222","50","AHU 10 (PRE-X)",,"1","60","480","DOP-AHU-AHU 10 (PRE-X)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","223","50","PAU 9 (CO2)",,"1","60","480","DOP-AHU-PAU 9 (CO2)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","224","50","AHU 11 (FILL-Y)",,"1","60","480","DOP-AHU-AHU 11 (FILL-Y)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","225","50","AHU 12 (PRE-Y)",,"1","60","480","DOP-AHU-AHU 12 (PRE-Y)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","226","50","AHU 13.1(FILL-Q)",,"1","60","480","DOP-AHU-AHU 13.1(FILL-Q)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","227","50","AHU 13 (FILL-Q)",,"1","60","480","DOP-AHU-AHU 13 (FILL-Q)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","228","50","AHU 14 (FILL-Z)",,"1","60","480","DOP-AHU-AHU 14 (FILL-Z)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"3","229","50","PAU 14 (CO2)",,"1","60","480","DOP-AHU-PAU 14 (CO2)","9/15/2021 2:09 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"1","231","51","Hệ thống điện Uti 1",,"1","60","480","DOP-Elect 1-Hệ thống điện Uti 1","9/16/2021 9:06 PM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"1","232","52","Hệ thống điện Uti 2",,"1","60","480","DOP-Elect 2-Hệ thống điện Uti 2","9/15/2021 2:10 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
"1","233","53","Máy phát điện",,"1","60","480","DOP-Máy phát điện-Máy phát điện","9/15/2021 2:10 AM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"234","58","Hệ thống Chiller FCU",,"1","60","480","DOP-Cooling Spot-Hệ thống Chiller FCU","9/18/2021 8:37 PM","9/13/2021 12:35 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"235","26","Nước cấp vào lò (tần suất 8h)",,"1","60","480","DOP-Boiler-Nước cấp vào lò (tần suất 8h)","9/14/2021 8:37 AM","9/13/2021 4:03 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"236","26","Nước cấp vào lò (tần suất 24h)",,"1","60","1,440","DOP-Boiler-Nước cấp vào lò (tần suất 24h)","9/14/2021 8:39 AM","9/13/2021 4:03 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"237","28","Air dryer",,"1","60","240","DOP-LP AC-Air dryer","9/14/2021 8:50 AM","9/13/2021 4:05 PM","Kim Nguyen Hoang {SPVB - Contractor}"
,"238","60","Trạm bơm Cooling (U1)",,"1","60","480","DOP-Trạm bơm Cooling-Trạm bơm Cooling (U1)","9/17/2021 7:08 PM","9/17/2021 5:37 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"239","60","Trạm bơm Cooling (U2)",,"1","60","480","DOP-Trạm bơm Cooling-Trạm bơm Cooling (U2)","9/17/2021 7:09 PM","9/17/2021 5:37 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"240","50","Nhiệt độ phòng fill T",,"1","240","480","DOP-AHU-Nhiệt độ phòng fill T","9/23/2021 9:55 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"241","50","Nhiệt độ phòng blower T",,"1","240","480","DOP-AHU-Nhiệt độ phòng blower T","9/23/2021 9:55 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"242","50","Nhiệt độ phòng fill U",,"1","240","480","DOP-AHU-Nhiệt độ phòng fill U","9/23/2021 9:55 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"243","50","Nhiệt độ phòng Syrup 1",,"1","240","480","DOP-AHU-Nhiệt độ phòng Syrup 1","9/23/2021 9:55 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"244","50","Nhiệt độ phòng filler W",,"1","240","480","DOP-AHU-Nhiệt độ phòng filler W","9/23/2021 9:55 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"245","50","Nhiệt độ phòng filler X",,"1","240","480","DOP-AHU-Nhiệt độ phòng filler X","9/23/2021 9:55 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"246","50","Nhiệt độ phòng filler Y",,"1","240","480","DOP-AHU-Nhiệt độ phòng filler Y","9/23/2021 9:56 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"247","50","Nhiệt độ phòng filler Q",,"1","240","480","DOP-AHU-Nhiệt độ phòng filler Q","9/23/2021 9:56 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"248","50","Nhiệt độ phòng filler Z",,"1","240","480","DOP-AHU-Nhiệt độ phòng filler Z","9/23/2021 9:56 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"249","50","Nhiệt độ phòng BIB",,"1","240","480","DOP-AHU-Nhiệt độ phòng BIB","9/23/2021 9:56 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"250","50","Nhiệt độ phòng trích li trà",,"1","240","480","DOP-AHU-Nhiệt độ phòng trích li trà","9/23/2021 9:56 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"251","50","Nhiệt độ phòng Syrup 2",,"1","240","480","DOP-AHU-Nhiệt độ phòng Syrup 2","9/23/2021 9:56 AM","9/21/2021 1:31 AM","Kim Nguyen Hoang {SPVB - Contractor}"
,"252","4","IR132-LP6","Máy nén thấp áp 6","1","20","240","QNP-LPAC-IR132-LP6","12/15/2021 5:04 PM","12/14/2021 5:31 AM","Hung Pham Truong {SPVB}"
".","253","2","Boiler No.6","Lò hơi số 6 (Miura)","1","20","120","QNP-Boiler-Boiler No.6","12/16/2021 11:26 PM","12/16/2021 11:26 PM","Hung Pham Truong {SPVB}"
".","254","2","Boiler No.7","Lò hơi số 7 (Miura)","1","20","120","QNP-Boiler-Boiler No.7","12/16/2021 11:26 PM","12/16/2021 11:26 PM","Hung Pham Truong {SPVB}"
,"255","5","Tank N2 1","Tank N2 1","1","20","240","QNP-CO2 và N2-Tank N2 1","1/2/2022 4:11 PM","1/2/2022 4:11 PM","Hung Pham Truong {SPVB}"
,"256","5","Tank N2 2","Tank N2 2","1","20","240","QNP-CO2 và N2-Tank N2 2","1/2/2022 4:13 PM","1/2/2022 4:12 PM","Hung Pham Truong {SPVB}"
".","257","17","Tank Nito","Tank Nito","1","60","240","CTP-CO2 và N2-Tank Nito","7/8/2022 1:48 AM","7/8/2022 1:48 AM","Hung Pham Truong {SPVB}"
".","258","18","Chiller Kho Đông","Chiller Kho Đông","1","480","480","CTP-Cooling Tower và Chiller-Chiller Kho Đông","7/8/2022 2:04 AM","7/8/2022 2:04 AM","Hung Pham Truong {SPVB}"
,"259","18","Chiller Kho Hương
Máy Nén 1","Chiller Kho Hương
Máy Nén 1","1","480","480","CTP-Cooling Tower và Chiller-Chiller Kho Hương
Máy Nén 1","7/8/2022 4:52 AM","7/8/2022 2:05 AM","Hung Pham Truong {SPVB}"
,"260","18","Chiller Kho Hương
Máy Nén 2","Chiller Kho Hương
Máy Nén 2","1","480","480","CTP-Cooling Tower và Chiller-Chiller Kho Hương Máy Nén 2","7/8/2022 4:53 AM","7/8/2022 2:09 AM","Hung Pham Truong {SPVB}"
,"261","18","Chiller Spot Cooling","Chiller Spot Cooling","1","480","480","CTP-Cooling Tower và Chiller-Chiller Spot Cooling","7/8/2022 2:24 AM","7/8/2022 2:10 AM","Hung Pham Truong {SPVB}"
".","262","19","NH3 system và Glycol","NH3 system và Glycol","1","45","120","BNP-Hệ thống lạnh NH3-NH3 system và Glycol","7/9/2022 11:06 PM","7/9/2022 11:06 PM","Hung Pham Truong {SPVB}"
".","263","23","Praxair Tank-Máy Lạnh","Praxair Tank-Máy Lạnh","1","45","240","BNP-CO2 và N2-Praxair Tank-Máy Lạnh","7/9/2022 11:13 PM","7/9/2022 11:13 PM","Hung Pham Truong {SPVB}"
