Title,PLANTID,NameSYS,DescriptionSYS,QRCode,ID,Modified,Created
,"4","NH3","Hệ thống lạnh NH3","QNP-Hệ thống lạnh NH3","1","9/1/2021 7:17 AM","7/19/2021 8:31 PM"
,"4","Boiler","Hệ thống Boiler","QNP-Boiler","2","7/23/2021 7:44 AM","7/19/2021 8:31 PM"
,"4","HP AC","Hệ thống HP AC","QNP-HP AC","3","7/23/2021 7:44 AM","7/19/2021 8:31 PM"
,"4","LP AC","Hệ thống LP AC","QNP-LP AC","4","7/23/2021 7:44 AM","7/19/2021 8:31 PM"
,"4","CO2 và N2","Hệ thống CO2 và N2","QNP-CO2 và N2","5","7/23/2021 7:44 AM","7/19/2021 8:31 PM"
,"4","Cooling Tower và Chiller","Hệ thống lạnh Cooling Tower và Chiller","QNP-Cooling Tower và Chiller","6","7/23/2021 7:44 AM","7/19/2021 8:31 PM"
,"5","NH3","Hệ thống lạnh NH3","HMP-Hệ thống lạnh NH3","7","9/1/2021 7:17 AM","7/19/2021 8:31 PM"
,"5","Boiler","Hệ thống Boiler","HMP-Boiler","8","7/23/2021 7:46 AM","7/19/2021 8:31 PM"
,"5","HP AC","Hệ thống HP AC","HMP-HP AC","9","7/23/2021 7:46 AM","7/19/2021 8:31 PM"
,"5","LP AC","Hệ thống LP AC","HMP-LP AC","10","7/23/2021 7:46 AM","7/19/2021 8:31 PM"
,"5","CO2 và N2","Hệ thống CO2 và N2","HMP-CO2 và N2","11","7/23/2021 7:46 AM","7/19/2021 8:31 PM"
,"5","Cooling Tower và Chiller","Hệ thống lạnh Cooling Tower và Chiller","HMP-Cooling Tower và Chiller","12","7/23/2021 7:46 AM","7/19/2021 8:31 PM"
,"1","NH3","Hệ thống lạnh NH3","CTP-Hệ thống lạnh NH3","13","9/1/2021 7:17 AM","7/19/2021 8:31 PM"
,"1","Boiler","Hệ thống Boiler","CTP-Boiler","14","7/23/2021 7:47 AM","7/19/2021 8:31 PM"
,"1","HP AC","Hệ thống HP AC","CTP-HP AC","15","7/23/2021 7:47 AM","7/19/2021 8:31 PM"
,"1","LP AC","Hệ thống LP AC","CTP-LP AC","16","7/23/2021 7:47 AM","7/19/2021 8:31 PM"
,"1","CO2 và N2","Hệ thống CO2 và N2","CTP-CO2 và N2","17","7/23/2021 7:47 AM","7/19/2021 8:31 PM"
,"1","Cooling Tower và Chiller","Hệ thống lạnh Cooling Tower và Chiller","CTP-Cooling Tower và Chiller","18","7/23/2021 7:47 AM","7/19/2021 8:31 PM"
,"2","NH3","Hệ thống lạnh NH3","BNP-Hệ thống lạnh NH3","19","9/1/2021 7:17 AM","7/19/2021 8:31 PM"
,"2","Boiler","Hệ thống Boiler","BNP-Boiler","20","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"2","HP AC","Hệ thống HP AC","BNP-HP AC","21","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"2","LP AC","Hệ thống LP AC","BNP-LP AC","22","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"2","CO2 và N2","Hệ thống CO2 và N2","BNP-CO2 và N2","23","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"2","Cooling Tower và Chiller","Hệ thống lạnh Cooling Tower và Chiller","BNP-Cooling Tower và Chiller","24","8/24/2021 3:49 AM","7/19/2021 8:31 PM"
,"3","NH3","Hệ thống lạnh NH3","DOP-Hệ thống lạnh NH3","25","9/1/2021 7:18 AM","7/19/2021 8:31 PM"
,"3","Boiler","Hệ thống Boiler","DOP-Boiler","26","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"3","HP AC","Hệ thống HP AC","DOP-HP AC","27","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"3","LP AC","Hệ thống LP AC","DOP-LP AC","28","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"3","CO2 và N2","Hệ thống CO2 và N2","DOP-CO2 và N2-CO2 system","29","10/7/2021 3:58 AM","7/19/2021 8:31 PM"
,"3","Cooling Tower và Chiller","Hệ thống lạnh Cooling Tower và Chiller","DOP-Cooling Tower và Chiller","30","7/23/2021 7:48 AM","7/19/2021 8:31 PM"
,"3","Hệ làm mềm nước","Hệ làm mềm nước","DOP-Hệ làm mềm nước","49","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","AHU","Hệ thống điều hòa trung tâm","DOP-AHU","50","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","Elect 1","Hệ thống điện 1","DOP-Elect 1","51","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","Elect 2","Hệ thống điện 2","DOP-Elect 2","52","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","Máy phát điện","Máy phát điện","DOP-Máy phát điện","53","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","Nito 2","Nito 2","DOP-Nito 2","54","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","NH3 2","Hệ thống lạnh NH3 2","DOP-NH3 2","55","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","HP AC 2","Hệ thống HP AC 2","DOP-HP AC 2","56","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","LP AC 2","Hệ thống LP AC 2","DOP-LP AC 2","57","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","Cooling spot","Cooling spot","DOP-Cooling spot","58","9/15/2021 2:12 AM","9/13/2021 12:27 PM"
,"3","Cooling Tower và Chiller 2","Hệ thống lạnh Cooling Tower và Chiller 2","DOP-Cooling Tower và Chiller 2","59","9/15/2021 2:13 AM","9/13/2021 12:27 PM"
,"3","Trạm bơm Cooling","Hệ thống trạm bơm Cooling","DOP-Trạm bơm Cooling","60","9/17/2021 5:32 AM","9/17/2021 5:32 AM"
